sector,isbn13,title,authors
0,9791185035444,리딩으로 리드하라 =세상을 지배하는 0.1퍼센트의 인문고전 독서법 /Reading lead,이지성 지음
0,9791186978894,모두의 파이썬 =20일 만에 배우는 프로그래밍 기초 /Python for everyone,이승찬 지음
0,9791157846764,박태웅의 AI 강의 :인간의 뇌를 초월하는 새로운 지능의 모든 것,박태웅 지음
0,9788950948573,생각이 크는 인문학,"글: 김윤경,그림: 이진아"
0,9788954635738,생각하는 인문학 :5000년 역사를 만든 동서양 천재들의 사색공부법,지은이: 이지성
0,9788955823653,시크릿 코더,진 루엔 양 글 ;임백준 옮김
0,9791188388684,"아들 셋 엄마의 돈 되는 독서 :돈도, 시간도 없지만 궁색하게 살긴 싫었다",김유라 지음
0,9791185541303,어떻게 읽을 것인가 :'모든 읽기'에 최고의 지침서,고영성 지음
0,9788997943074,어린이 인문학 여행,노경실 지음
0,9791159096174,어쩌다 어른 :OtvN 프리미엄 특강쇼,<어쩌다 어른> 제작팀 지음
0,9791160401202,"엄마의 독서 :현재진행형, 엄마의 자리를 묻다",정아은 지음
0,9788950967062,에디톨로지 =창조는 편집이다 /Editology,김정운 지음
0,9788936472979,유시민의 공감필법,지은이: 유시민
0,9788971390849,인간이 그리는 무늬 :욕망하는 인문적 통찰의 힘,최진석 지음
0,9791125657941,자두의 독서 일기장 :안녕 자두야 독서왕이 되고 싶다고?,캐릭터 원작: 이빈 ;그림: 최호정
0,9791125672241,자두의 호기심 일기장 :안녕 자두야 뭐가 그리 궁금하니?,캐릭터 원작: 이빈 ;그림: 김화미
0,9788956051796,지식ⓔ,지은이: EBS〈지식채널ⓔ> 제작팀
0,9791187289302,책 잘 읽는 방법 :폼나게 재미나게 티나게 읽기,김봉진 지음
0,9788901101569,청춘의 독서 :세상을 바꾼 위험하고 위대한 생각들,유시민 지음
0,9788901218151,청춘의 독서 :세상을 바꾼 위험하고 위대한 생각들,유시민 지음
0,9788991731745,"초등 1학년 공부, 책읽기가 전부다",송재환 지음
0,9788992814423,초등 고전읽기 혁명 :내 아이가 고전에 빠져든다! 성장한다!,송재환 지음
0,9791190846318,초등 매일 독서의 힘 :'읽는 중학생'을 만드는 초등의 책 읽기,이은경 지음
0,9788954653848,쾌락독서 :개인주의자 문유석의 유쾌한 책 읽기,지은이: 문유석
0,9788990828613,크라센의 읽기 혁명,스티븐 크라센 [저] ;조경숙 옮김
0,9791160509441,팜 :기발한 상상력이 가득한 판타지 코딩과학동화,글: 홍지연 ;그림: 지문
0,9791165211004,팜 :기발한 상상력이 가득한 판타지 코딩과학동화,글: 홍지연 ;그림: 지문
0,9791165213886,팜 :기발한 상상력이 가득한 판타지 코딩과학동화,글: 홍지연 ;그림: 지문
0,9791165217907,팜 :기발한 상상력이 가득한 판타지 코딩과학동화,글: 홍지연 ;그림: 지문
0,9788996873983,혼자서도 할 수 있는 블로그 마케팅 :만들기/꾸미기/글쓰기/상위노출/방문자수 늘리기,지은이: 유성철
1,9791167550743,(고정욱 선생님이 들려주는) 다정한 말 단단한 말,고정욱 글 ;릴리아 그림
1,9791130639406,(나의 성격을 이해하고 더 멋진 내가 되는) 우리들의 MBTI,"글: 조수연,그림: 소윤"
1,9788965960126,(마흔에 읽는) 손자병법 :내 인생의 전환점,강상구 지음
1,9788954637169,(법륜 스님의) 행복 :행복해지고 싶지만 길을 몰라 헤매는 당신에게,법륜 지음 ;최승미 그림
1,9788997396870,(오은영의) 화해 :상처받은 내면의 나와 마주하는 용기,오은영 지음
1,9791158681784,(읽다 보면 저절로 알게 되는) 신비한 마음 사전,글·그림: 김지호
1,9791158681630,(읽으면서 바로 써먹는) 어린이 사자소학,글·그림: 이수인
1,9791196067694,12가지 인생의 법칙 :혼돈의 해독제,조던 B. 피터슨 지음 ;강주헌 옮김
